Beat1,Beat2,Correlation
111,111,1
2132,2123,0.701808236
2123,2132,0.701808236
2311,2123,0.6851234
2123,2311,0.6851234
2311,2132,0.684973062
2132,2311,0.684973062
2324,2331,0.683263983
2331,2324,0.683263983
2331,2332,0.669292534
2332,2331,0.669292534
2123,2124,0.665205742
2124,2123,0.665205742
2331,2123,0.657091161
2123,2331,0.657091161
2324,2123,0.655234848
2123,2324,0.655234848
2324,2124,0.653585458
2124,2324,0.653585458
2311,2124,0.651819221
2124,2311,0.651819221
2122,2123,0.650077388
2123,2122,0.650077388
2331,2333,0.644064216
2333,2331,0.644064216
2122,2124,0.643246779
2124,2122,0.643246779
2132,2124,0.639897711
2124,2132,0.639897711
2311,2324,0.639596378
2324,2311,0.639596378
2332,2311,0.638644356
2311,2332,0.638644356
2333,2123,0.638248182
2123,2333,0.638248182
2312,2311,0.63738578
2311,2312,0.63738578
2131,2324,0.63717933
2324,2131,0.63717933
2311,2131,0.636518684
2131,2311,0.636518684
2132,2324,0.63142504
2324,2132,0.63142504
2312,2123,0.631154171
2123,2312,0.631154171
2332,2123,0.630598384
2123,2332,0.630598384
1313,1323,0.627398694
1323,1313,0.627398694
2131,2312,0.62620607
2312,2131,0.62620607
2331,2124,0.625365815
2124,2331,0.625365815
2332,2124,0.62279087
2124,2332,0.62279087
2312,2132,0.621297713
2132,2312,0.621297713
2331,2311,0.617380856
2311,2331,0.617380856
2311,2333,0.616466407
2333,2311,0.616466407
2311,2313,0.615652748
2313,2311,0.615652748
1323,1331,0.614282759
1331,1323,0.614282759
2324,2122,0.613870918
2122,2324,0.613870918
2124,2312,0.613511598
2312,2124,0.613511598
2132,2331,0.613296904
2331,2132,0.613296904
2332,2132,0.611936793
2132,2332,0.611936793
2131,2123,0.61124573
2123,2131,0.61124573
2132,2333,0.609876199
2333,2132,0.609876199
2124,2333,0.608529283
2333,2124,0.608529283
2122,2132,0.608338032
2132,2122,0.608338032
2332,2324,0.608109983
2324,2332,0.608109983
2311,2122,0.607641781
2122,2311,0.607641781
2123,2113,0.606030354
2113,2123,0.606030354
2112,2311,0.605592733
2311,2112,0.605592733
2313,2132,0.605115526
2132,2313,0.605115526
2132,2131,0.604657457
2131,2132,0.604657457
2131,2331,0.603149366
2331,2131,0.603149366
1324,1323,0.601825376
1323,1324,0.601825376
1311,1323,0.601365227
1323,1311,0.601365227
2122,2332,0.601245909
2332,2122,0.601245909
2123,2111,0.600572951
2111,2123,0.600572951
2132,2112,0.599791447
2112,2132,0.599791447
2323,2331,0.599759842
2331,2323,0.599759842
2122,2333,0.598739371
2333,2122,0.598739371
2311,2111,0.597776585
2111,2311,0.597776585
2124,2313,0.596927465
2313,2124,0.596927465
2122,2331,0.59621225
2331,2122,0.59621225
2324,2313,0.595295359
2313,2324,0.595295359
2131,2111,0.593167157
2111,2131,0.593167157
2122,2312,0.590762293
2312,2122,0.590762293
2124,2131,0.590182514
2131,2124,0.590182514
2333,2131,0.589948932
2131,2333,0.589948932
2332,2333,0.589069156
2333,2332,0.589069156
2123,2313,0.587235446
2313,2123,0.587235446
2122,2131,0.584650722
2131,2122,0.584650722
2113,2311,0.582591096
2311,2113,0.582591096
2131,2332,0.581821819
2332,2131,0.581821819
2123,2112,0.581064981
2112,2123,0.581064981
2333,2324,0.580268257
2324,2333,0.580268257
1323,1312,0.579400157
1312,1323,0.579400157
2312,2113,0.579117453
2113,2312,0.579117453
2323,2122,0.577351702
2122,2323,0.577351702
2123,2322,0.576635689
2322,2123,0.576635689
2111,2124,0.576595819
2124,2111,0.576595819
2312,2332,0.575840045
2332,2312,0.575840045
2323,2324,0.574594077
2324,2323,0.574594077
1331,1313,0.573259055
1313,1331,0.573259055
2323,2311,0.572986709
2311,2323,0.572986709
1312,1311,0.571198896
1311,1312,0.571198896
1312,1324,0.569789395
1324,1312,0.569789395
2132,2113,0.569647743
2113,2132,0.569647743
1311,1331,0.568774976
1331,1311,0.568774976
1313,1311,0.568762128
1311,1313,0.568762128
1324,1331,0.568138841
1331,1324,0.568138841
2124,2322,0.5675782
2322,2124,0.5675782
1332,1331,0.567057422
1331,1332,0.567057422
2313,2333,0.566699817
2333,2313,0.566699817
2313,2113,0.565162057
2113,2313,0.565162057
2123,2323,0.563969028
2323,2123,0.563969028
2122,2313,0.563834118
2313,2122,0.563834118
2331,2111,0.563295137
2111,2331,0.563295137
1324,1313,0.563020031
1313,1324,0.563020031
2322,2311,0.561811975
2311,2322,0.561811975
132,2311,0.56062011
2311,132,0.56062011
2132,2133,0.560109164
2133,2132,0.560109164
2131,2323,0.559158007
2323,2131,0.559158007
1311,1324,0.558400163
1324,1311,0.558400163
2331,2312,0.558139926
2312,2331,0.558139926
1323,1333,0.558082123
1333,1323,0.558082123
2112,2312,0.556693883
2312,2112,0.556693883
2123,2133,0.5544786
2133,2123,0.5544786
2112,2124,0.553585133
2124,2112,0.553585133
2131,2133,0.553576837
2133,2131,0.553576837
2113,2124,0.552373952
2124,2113,0.552373952
2111,2132,0.5519928
2132,2111,0.5519928
2312,2333,0.551690121
2333,2312,0.551690121
1312,1331,0.550445843
1331,1312,0.550445843
2324,2312,0.549926857
2312,2324,0.549926857
2313,2312,0.549758495
2312,2313,0.549758495
2132,2322,0.549234686
2322,2132,0.549234686
2133,2124,0.54812713
2124,2133,0.54812713
1332,1323,0.547797013
1323,1332,0.547797013
2311,2133,0.547793486
2133,2311,0.547793486
2111,2312,0.547569719
2312,2111,0.547569719
134,2311,0.546386656
2311,134,0.546386656
1311,1332,0.546062366
1332,1311,0.546062366
2113,2131,0.545679625
2131,2113,0.545679625
2123,132,0.543458393
132,2123,0.543458393
2323,2332,0.543209202
2332,2323,0.543209202
2332,2111,0.543209128
2111,2332,0.543209128
2313,2331,0.542909364
2331,2313,0.542909364
2313,2131,0.541215554
2131,2313,0.541215554
2324,2322,0.540940831
2322,2324,0.540940831
2122,2113,0.540825766
2113,2122,0.540825766
2333,2323,0.540146314
2323,2333,0.540146314
1332,1313,0.53992413
1313,1332,0.53992413
1312,1332,0.538655493
1332,1312,0.538655493
2133,2312,0.538601145
2312,2133,0.538601145
1322,1311,0.537449192
1311,1322,0.537449192
2123,134,0.536634065
134,2123,0.536634065
134,2132,0.535100992
2132,134,0.535100992
2323,2132,0.534819402
2132,2323,0.534819402
2133,2122,0.534670718
2122,2133,0.534670718
1312,1322,0.534094699
1322,1312,0.534094699
2112,2111,0.533739196
2111,2112,0.533739196
2322,2313,0.533555012
2313,2322,0.533555012
1313,1312,0.533507536
1312,1313,0.533507536
2332,2113,0.532974669
2113,2332,0.532974669
2333,2133,0.531720938
2133,2333,0.531720938
2131,2112,0.531162701
2112,2131,0.531162701
2124,2323,0.529892346
2323,2124,0.529892346
2331,2113,0.529463534
2113,2331,0.529463534
132,2132,0.528823038
2132,132,0.528823038
1323,1322,0.528104756
1322,1323,0.528104756
2131,2322,0.52606828
2322,2131,0.52606828
2324,2111,0.526030154
2111,2324,0.526030154
2322,2331,0.525305532
2331,2322,0.525305532
132,2332,0.524933881
2332,132,0.524933881
1313,1322,0.524582922
1322,1313,0.524582922
2331,132,0.523827957
132,2331,0.523827957
1312,1333,0.521956116
1333,1312,0.521956116
2113,2111,0.521579779
2111,2113,0.521579779
2332,2313,0.521329396
2313,2332,0.521329396
1331,1322,0.520573167
1322,1331,0.520573167
1324,1322,0.520565958
1322,1324,0.520565958
2124,134,0.520448472
134,2124,0.520448472
132,2124,0.519151826
2124,132,0.519151826
2113,2324,0.518880419
2324,2113,0.518880419
1333,1313,0.518641299
1313,1333,0.518641299
2322,2332,0.517900306
2332,2322,0.517900306
2333,2111,0.51641253
2111,2333,0.51641253
1332,1324,0.515748096
1324,1332,0.515748096
1324,1333,0.515237059
1333,1324,0.515237059
2112,2122,0.514846067
2122,2112,0.514846067
2324,132,0.511744931
132,2324,0.511744931
2331,134,0.5113921
134,2331,0.5113921
1333,1311,0.511336169
1311,1333,0.511336169
2112,2331,0.510492996
2331,2112,0.510492996
2112,2313,0.508492693
2313,2112,0.508492693
2122,2111,0.508193039
2111,2122,0.508193039
2133,2313,0.508105503
2313,2133,0.508105503
2113,2112,0.503653768
2112,2113,0.503653768
2332,2112,0.503285698
2112,2332,0.503285698
1332,1322,0.502179092
1322,1332,0.502179092
132,2333,0.501956893
2333,132,0.501956893
2322,2122,0.501796149
2122,2322,0.501796149
2131,132,0.500667351
132,2131,0.500667351
134,2324,0.500039656
2324,134,0.500039656
2112,134,0.497510413
134,2112,0.497510413
2112,2333,0.497480417
2333,2112,0.497480417
2112,2324,0.49745862
2324,2112,0.49745862
2133,2323,0.497421728
2323,2133,0.497421728
2113,2333,0.49669783
2333,2113,0.49669783
1234,1214,0.496683549
1214,1234,0.496683549
2131,134,0.494449112
134,2131,0.494449112
2133,2331,0.493375022
2331,2133,0.493375022
2133,2112,0.49333743
2112,2133,0.49333743
2322,2111,0.493031557
2111,2322,0.493031557
1221,1225,0.492872024
1225,1221,0.492872024
1214,1215,0.492575038
1215,1214,0.492575038
2122,132,0.492100619
132,2122,0.492100619
2324,2133,0.491579474
2133,2324,0.491579474
2313,132,0.491304649
132,2313,0.491304649
1225,1214,0.491148056
1214,1225,0.491148056
1332,1333,0.490224884
1333,1332,0.490224884
2322,134,0.490010326
134,2322,0.490010326
2333,134,0.487858678
134,2333,0.487858678
2323,2322,0.486442282
2322,2323,0.486442282
1234,1225,0.484316354
1225,1234,0.484316354
1215,1221,0.48418378
1221,1215,0.48418378
2322,2112,0.483701261
2112,2322,0.483701261
2313,2323,0.483614935
2323,2313,0.483614935
2312,2322,0.483581036
2322,2312,0.483581036
2123,233,0.483480133
233,2123,0.483480133
2332,2133,0.483026933
2133,2332,0.483026933
2111,2323,0.482691005
2323,2111,0.482691005
134,2312,0.481870539
2312,134,0.481870539
1214,1221,0.479785115
1221,1214,0.479785115
1333,1331,0.478952534
1331,1333,0.478952534
2113,132,0.477456569
132,2113,0.477456569
2323,2112,0.477040241
2112,2323,0.477040241
2123,1311,0.474649811
